337ns
491ns
562ns
3.297µs
1.517µs
2.139µs
1.975µs
2.006µs
2.736µs
3.529µs
4.51µs
5.678µs
7.039µs
8.572µs
10.277µs
12.244µs
14.489µs
17.079µs
19.771µs
22.882µs
31.11µs
35.012µs
50.653µs
42.17µs
43.312µs
48.542µs
54.142µs
59.961µs
66.48µs
73.026µs
80.944µs
94.692µs
96.759µs
105.536µs
114.788µs
124.734µs
141.1µs
146.355µs
164.624µs
171.911µs
193.736µs
194.37µs
209.533µs
223.12µs
225µs
205.128µs
219.514µs
235.668µs
244.763µs
262.039µs
275.678µs
294.012µs
309.944µs
469.447µs
432.082µs
373.606µs
325.733µs
342.532µs
360.083µs
487.689µs
456.763µs
547.026µs
508.86µs
480.753µs
506.502µs
584.854µs
554.798µs
659.611µs
851.231µs
647.164µs
717.544µs
698.222µs
739.298µs
792.579µs
796.728µs
888.87µs
1.01389ms
1.237358ms
943.964µs
1.01864ms
1.048688ms
1.169503ms
1.136923ms
1.524321ms
1.306288ms
1.385985ms
1.381225ms
1.666519ms
1.811178ms
2.370921ms
1.790454ms
1.78411ms
2.294178ms
2.308438ms
2.003523ms
2.054846ms
2.724141ms
2.117224ms
2.227328ms
2.798245ms
2.451641ms
2.525796ms
3.124549ms
2.623856ms
2.637042ms
3.380848ms
2.874579ms
3.753885ms
3.059ms
3.141824ms
3.946543ms
3.444866ms
4.377978ms
3.71303ms
5.901414ms
6.23995ms
5.712012ms
5.612743ms
7.216303ms
7.467674ms
6.938156ms
6.798445ms
5.074713ms
5.393636ms
6.309892ms
5.545917ms
6.1851ms
5.581813ms
5.404075ms
5.979346ms
5.788499ms
5.741522ms
5.918236ms
6.258888ms
6.637297ms
6.617085ms
6.763544ms
7.544508ms
7.136555ms
7.245803ms
7.292897ms
7.652502ms
8.190355ms
8.582313ms
8.531737ms
8.54181ms
8.716057ms
9.298505ms
10.298535ms
9.806817ms
10.000883ms
9.459351ms
9.795042ms
10.363569ms
10.692432ms
11.262165ms
12.400973ms
10.51894ms
10.816879ms
11.303671ms
12.19758ms
12.514154ms
12.51898ms
13.224993ms
14.181274ms
14.546099ms
15.046159ms
15.924353ms
17.02698ms
16.212448ms
16.391944ms
19.377657ms
13.866276ms
14.465044ms
14.078395ms
16.037766ms
15.294214ms
17.016313ms
17.180566ms
17.699536ms
16.782761ms
16.745036ms
17.005669ms
19.108991ms
18.658744ms
18.160812ms
18.691813ms
20.588034ms
19.267177ms
19.007658ms
21.007708ms
19.806299ms
19.576546ms
19.535228ms
20.769037ms
20.932033ms
21.309761ms
21.815162ms
21.492016ms
21.90918ms
22.48247ms
22.323703ms
23.276895ms
23.839167ms
23.350133ms
23.904834ms
24.285786ms
24.51113ms
24.767141ms
25.957979ms
26.775885ms
25.537456ms
28.381346ms
26.779699ms
27.682164ms
27.576036ms
28.662371ms
29.199122ms
30.686445ms
29.544355ms
30.64075ms
31.85977ms
30.469459ms
47.030376ms
46.023494ms
47.421097ms
47.724782ms
48.509128ms
48.86842ms
49.731318ms
52.602506ms
53.301719ms
52.357849ms
52.375513ms
52.64217ms
55.998545ms
54.887388ms
55.417605ms
54.81514ms
57.56917ms
59.579165ms
60.971259ms
58.707066ms
61.879515ms
60.484608ms
61.762769ms
60.977878ms
62.847116ms
63.065137ms
68.62313ms
65.812408ms
68.335862ms
66.373954ms
69.502461ms
68.287733ms
50.85973ms
49.815092ms
51.819997ms
51.343963ms
54.726911ms
66.858791ms
138.408783ms
93.916791ms
85.80247ms
71.806744ms
65.162065ms
141.576125ms
140.040149ms
81.888331ms
61.098995ms
67.468816ms
119.747839ms
135.474833ms
126.386638ms
84.272628ms
77.229767ms
78.747704ms
115.385354ms
94.276522ms
92.299296ms
78.285519ms
147.262899ms
105.743211ms
117.335786ms
123.231623ms
105.270512ms
117.336091ms
157.405351ms
134.028856ms
109.517725ms
109.890432ms
121.735894ms
121.222994ms
323.926591ms
279.024393ms
651.611558ms
155.727151ms
121.334257ms
